SKU,DKS_Blr_BGRoad_001,DKS_Blr_btmlayout_001,DKS_Blr_HSRlayout_001,DKS_Blr_kaggdaspura_001,DKS_Blr_kalyannagar_001,DKS_Blr_Marathahalli_001,DKS_Blr_Sheshadripurm_001,DKS_Blr_varthur_001,DKS_Blr_whitefield_001
CLILI0001SPY,21,20,18,20,13,2,6,12,0
CFOWF0053SH,9,5,10,18,28,4,4,0,0
CFOWF0069SH,15,1,31,35,22,13,3,4,0
CFOWF0056SH,22,10,27,22,29,13,0,0,0
CFOWF0132WH,20,8,13,18,18,1,3,10,0
CFOWF0061SH,8,3,16,37,13,3,0,10,0
CFOWF0129SH,19,3,13,32,21,2,0,0,0
CFOTR000S3H,6,17,10,11,11,2,0,12,0
CFOWF0131SH,13,3,8,26,15,0,6,3,0
CFOWF0001RC,10,0,11,15,12,0,4,0,0
CFOWF0003AL,23,0,17,4,0,0,0,0,0
CLILI0004PPT,3,6,18,13,0,0,3,23,0
CFOTR0004TE,15,1,2,10,9,1,1,11,0
CFOWF0180WH,12,0,13,8,8,1,0,0,0
CFOTR0003TE,13,6,1,13,15,0,7,0,0
CFOWF0127WH,5,0,9,8,0,0,3,0,0
CFOWF0003FX,4,0,7,12,2,0,0,0,0
CFOTR0017TE,8,2,0,6,0,3,1,9,0
CFOTR0001SH,1,4,2,8,11,3,0,0,0
CFOTR0002MO,7,6,2,5,4,0,1,0,0
DTRJT0002HN,6,1,0,0,4,0,0,0,0
CFOTR0006KY,0,0,1,0,10,0,0,0,0
DFODF0015HN,3,11,0,0,11,0,0,0,0
CPCTF0002SAVPH,12,0,0,13,16,0,0,6,0
DSWGS0007VIVPH,4,0,0,17,40,0,0,11,0
CFOWF0002RC,7,0,1,9,3,3,1,0,0
CFOTR0023TE,0,7,0,1,6,0,1,0,0
CFODF0015SH,3,4,2,6,2,5,0,0,0
CFOTR0002TE,7,0,5,3,0,0,7,7,0
CLILI0004EP,4,0,8,11,0,0,0,4,0
CFOTR0004MO,1,0,0,0,0,0,0,0,0
DPCTF0001MSDPH,7,0,0,13,9,0,0,3,0
CLILI0001PC,2,0,4,1,4,0,0,0,0
CFOWF0004FX,2,1,2,1,4,0,0,0,0
CLILI0002PU,3,0,3,8,3,0,0,7,0
DFOWF0006PG,1,6,4,5,3,0,0,0,0
CFOWF0010AL,4,0,1,4,0,0,0,0,0
CFOTR0005KI,0,2,0,0,0,0,0,0,0
CFOTR0001TE,5,0,0,0,4,0,0,0,0
DTRJT0010PG,0,0,0,0,0,0,0,0,0
CFOWF0005GF,1,0,0,0,0,0,0,0,0
CFOWF0005FX,5,2,3,0,6,1,0,0,0
DTRJT0009PG,1,4,1,3,0,0,1,0,0
DTRDT0001PG,0,1,0,5,4,0,0,0,0
CFODF0021MO,0,0,0,0,0,0,0,0,0
DFOWF0054PG,0,0,0,0,0,0,0,0,0
CFOWF0006FX,0,0,0,0,0,0,0,0,0
DFOWF0035DR,1,6,0,0,0,0,0,1,0
CFOTR0008MO,3,0,0,0,0,0,0,0,0
DTRJT0016CC,2,0,1,8,4,1,0,4,0
CFOWF0107RC,0,2,1,6,5,0,1,5,0
CFOWF0149MO,2,5,4,3,4,0,0,0,0
CFOWF0004RC,7,0,4,4,3,5,0,5,0
CFOTR0003MO,1,1,4,6,1,0,0,0,0
DTRDT0044BOL,6,3,1,0,3,0,0,0,0
CFOWF0176WH,2,0,3,1,0,0,1,0,0
CFOWF0127SH,3,0,8,0,0,2,0,0,0
DTRJT0011HN,2,3,0,5,0,0,0,0,0
CFOWF0103WH,10,0,3,0,3,0,0,0,0
CFOWF0181WH,4,1,0,0,0,0,0,0,0
DTRJT0011PG,3,0,0,0,2,0,1,5,0
CFOWF0017AL,0,0,1,0,0,0,0,0,0
CFOWF0009AL,3,0,1,5,16,4,5,2,0
CFODF0013MO,0,4,3,3,6,1,2,0,0
DTRJT0010CC,0,0,2,2,3,2,0,0,0
CLILI0001PU,3,0,3,1,6,0,1,0,0
CFODF0005RC,1,0,2,5,0,0,0,0,0
CFODF0011RC,2,0,1,5,0,0,0,0,0
CFOTR0005DR,2,3,3,4,2,0,1,0,0
CLILI0001HWN,0,0,0,0,0,0,0,0,0
DTOST0038SKT,4,0,4,5,0,0,0,0,0
DGRGT0009SKT,3,0,0,2,0,0,0,0,0
CPCTF0001PCPH,5,0,0,6,12,0,0,4,0
CFOWF0126BT,2,0,7,8,0,0,0,0,0
CFODF0027MO,2,0,2,0,0,0,0,2,0
CFODF0016SH,0,0,0,0,0,0,0,0,0
DTRJT0001KIT,1,3,0,1,0,0,0,0,0
CFOWF0002FX,1,1,1,2,0,0,0,0,0
CFOWF0006KC,0,0,0,0,0,0,0,0,0
CFODF0026MO,2,0,1,2,4,0,0,2,0
CFOTR0001KI,0,0,0,3,0,0,0,0,0
DTRJT0003HN,0,0,0,0,0,0,0,0,0
DTRJT0047KK,5,5,0,4,4,0,0,5,0
CFOWF0001FX,0,4,0,1,9,0,2,0,0
CFOWF0125MO,2,0,0,0,0,0,0,0,0
DSWJC0002VIVPH,2,0,0,8,4,0,0,4,0
DHEHS0001HM,2,2,2,4,1,1,1,3,0
CFOWF0004KC,0,0,0,0,0,0,0,0,0
CPCTF0001VEKPH,0,0,0,0,0,0,0,0,0
CFOWF0131MO,2,1,2,0,0,0,1,0,0
CFOWF0123MO,5,0,0,0,3,0,0,0,0
CFOWF0140MO,3,0,0,3,5,0,1,0,0
DSWGS0003NKFPH,4,0,0,8,16,0,0,3,0
CFOWF0005KC,0,0,0,0,0,0,0,0,0
CFOWF0125SH,2,0,0,1,2,1,1,1,0
CFOWF0005AL,0,0,0,2,0,0,1,0,0
DTRJT0016HN,4,0,0,0,0,0,0,0,0
DTRBC0002SM,0,0,0,0,0,0,0,0,0
DHEHS0030HM,0,0,0,2,2,0,0,3,0
DFODF0044RC,1,1,4,4,2,0,0,0,0
CFOWF0003KC,0,0,0,0,0,0,0,0,0
CFODF0017RC,3,2,1,5,4,0,0,0,0
CLILI0051PC,1,2,0,2,0,0,0,6,0
CFOWF0001AL,1,0,1,2,0,0,0,0,0
CFOTR0001BOL,1,0,0,2,0,1,0,1,0
CFODF0008RC,1,0,3,3,0,0,0,1,0
CFOTR0014MO,3,0,0,0,0,0,0,0,0
